產業ID,態樣ID,件數
IND_01,VP_001,291
IND_01,VP_002,1
IND_01,VP_004,226
IND_01,VP_005,28
IND_01,VP_006,25
IND_02,VP_001,2803
IND_02,VP_003,10
IND_02,VP_004,6629
IND_02,VP_005,455
IND_02,VP_006,226
IND_03,VP_001,74
IND_03,VP_004,332
IND_03,VP_005,29
IND_03,VP_006,5
IND_04,VP_001,197
IND_04,VP_003,2
IND_04,VP_004,1007
IND_04,VP_005,23
IND_04,VP_006,22
IND_05,VP_001,86
IND_05,VP_004,79
IND_05,VP_005,7
IND_05,VP_006,6
IND_06,VP_001,12
IND_06,VP_003,1
IND_06,VP_004,41
IND_06,VP_005,2
IND_06,VP_006,1
IND_07,VP_001,582
IND_07,VP_003,3
IND_07,VP_004,524
IND_07,VP_005,36
IND_07,VP_006,27
IND_08,VP_001,22
IND_08,VP_004,25
IND_08,VP_005,3
IND_08,VP_006,3
IND_09,VP_001,6
IND_09,VP_004,39
IND_09,VP_005,2
IND_09,VP_006,1
IND_10,VP_001,261
IND_10,VP_003,2
IND_10,VP_004,293
IND_10,VP_005,21
IND_10,VP_006,1
IND_11,VP_001,29
IND_11,VP_004,12
IND_11,VP_005,2
IND_12,VP_001,138
IND_12,VP_003,1
IND_12,VP_004,513
IND_12,VP_005,44
IND_12,VP_006,30
IND_13,VP_001,118
IND_13,VP_003,2
IND_13,VP_004,534
IND_13,VP_005,33
IND_13,VP_006,12
