案例ID,事故ID
OSHA_00002,A002
OSHA_00002,A003
OSHA_00002,A004
OSHA_00003,A002
OSHA_00003,A003
OSHA_00003,A004
OSHA_00004,A002
OSHA_00004,A003
OSHA_00004,A004
OSHA_00005,A002
OSHA_00005,A003
OSHA_00005,A004
OSHA_00006,A002
OSHA_00006,A003
OSHA_00006,A004
OSHA_00007,A002
OSHA_00007,A003
OSHA_00007,A004
OSHA_00009,A002
OSHA_00009,A003
OSHA_00009,A004
OSHA_00010,A002
OSHA_00010,A003
OSHA_00010,A004
OSHA_00014,A002
OSHA_00014,A003
OSHA_00014,A004
OSHA_00015,A002
OSHA_00015,A003
OSHA_00015,A004
OSHA_00017,A002
OSHA_00017,A003
OSHA_00017,A004
OSHA_00018,A002
OSHA_00018,A003
OSHA_00018,A004
OSHA_00020,A002
OSHA_00020,A003
OSHA_00020,A004
OSHA_00021,A002
OSHA_00021,A003
OSHA_00021,A004
OSHA_00022,A002
OSHA_00022,A003
OSHA_00022,A004
OSHA_00025,A002
OSHA_00025,A003
OSHA_00025,A004
OSHA_00026,A002
OSHA_00026,A003
OSHA_00026,A004
OSHA_00028,A002
OSHA_00028,A003
OSHA_00028,A004
OSHA_00029,A002
OSHA_00029,A003
OSHA_00029,A004
OSHA_00030,A002
OSHA_00030,A003
OSHA_00030,A004
OSHA_00031,A002
OSHA_00031,A003
OSHA_00031,A004
OSHA_00033,A002
OSHA_00033,A003
OSHA_00033,A004
OSHA_00034,A002
OSHA_00034,A003
OSHA_00034,A004
OSHA_00035,A002
OSHA_00035,A003
OSHA_00035,A004
OSHA_00036,A002
OSHA_00036,A003
OSHA_00036,A004
OSHA_00037,A002
OSHA_00037,A003
OSHA_00037,A004
OSHA_00038,A002
OSHA_00038,A003
OSHA_00038,A004
OSHA_00039,A002
OSHA_00039,A003
OSHA_00039,A004
OSHA_00040,A002
OSHA_00040,A003
OSHA_00040,A004
OSHA_00041,A002
OSHA_00041,A003
OSHA_00041,A004
OSHA_00042,A002
OSHA_00042,A003
OSHA_00042,A004
OSHA_00043,A002
OSHA_00043,A003
OSHA_00043,A004
OSHA_00044,A002
OSHA_00044,A003
OSHA_00044,A004
OSHA_00045,A002
OSHA_00045,A003
OSHA_00045,A004
OSHA_00046,A002
OSHA_00046,A003
OSHA_00046,A004
OSHA_00047,A002
OSHA_00047,A003
OSHA_00047,A004
OSHA_00048,A002
OSHA_00048,A003
OSHA_00048,A004
OSHA_00049,A002
OSHA_00049,A003
OSHA_00049,A004
OSHA_00050,A002
OSHA_00050,A003
OSHA_00050,A004
OSHA_00051,A002
OSHA_00051,A003
OSHA_00051,A004
OSHA_00052,A002
OSHA_00052,A003
OSHA_00052,A004
OSHA_00053,A002
OSHA_00053,A003
OSHA_00053,A004
OSHA_00056,A002
OSHA_00056,A003
OSHA_00056,A004
OSHA_00057,A002
OSHA_00058,A002
OSHA_00058,A003
OSHA_00058,A004
OSHA_00059,A002
OSHA_00059,A003
OSHA_00059,A004
OSHA_00060,A002
OSHA_00060,A003
OSHA_00060,A004
OSHA_00061,A002
OSHA_00061,A003
OSHA_00061,A004
OSHA_00062,A002
OSHA_00062,A003
OSHA_00062,A004
OSHA_00063,A002
OSHA_00063,A003
OSHA_00063,A004
OSHA_00064,A002
OSHA_00064,A003
OSHA_00064,A004
OSHA_00066,A002
OSHA_00066,A003
OSHA_00066,A004
OSHA_00067,A002
OSHA_00067,A003
OSHA_00067,A004
OSHA_00069,A002
OSHA_00069,A003
OSHA_00069,A004
OSHA_00071,A002
OSHA_00072,A002
OSHA_00072,A003
OSHA_00072,A004
OSHA_00073,A002
OSHA_00073,A003
OSHA_00073,A004
OSHA_00074,A002
OSHA_00074,A003
OSHA_00074,A004
OSHA_00075,A002
OSHA_00075,A003
OSHA_00075,A004
OSHA_00079,A002
OSHA_00079,A003
OSHA_00079,A004
OSHA_00080,A002
OSHA_00080,A003
OSHA_00080,A004
OSHA_00081,A002
OSHA_00081,A003
OSHA_00081,A004
OSHA_00082,A002
OSHA_00082,A003
OSHA_00082,A004
OSHA_00083,A002
OSHA_00083,A003
OSHA_00083,A004
OSHA_00084,A002
OSHA_00084,A003
OSHA_00084,A004
OSHA_00086,A002
OSHA_00088,A002
OSHA_00088,A003
OSHA_00088,A004
OSHA_00089,A002
OSHA_00091,A002
OSHA_00091,A003
OSHA_00091,A004
OSHA_00092,A002
OSHA_00093,A002
OSHA_00093,A003
OSHA_00093,A004
OSHA_00094,A002
OSHA_00094,A003
OSHA_00094,A004
OSHA_00095,A002
OSHA_00095,A003
OSHA_00095,A004
OSHA_00096,A002
OSHA_00096,A003
OSHA_00096,A004
OSHA_00097,A002
OSHA_00097,A003
OSHA_00097,A004
OSHA_00098,A002
OSHA_00098,A003
OSHA_00098,A004
OSHA_00099,A002
OSHA_00099,A003
OSHA_00099,A004
OSHA_00100,A002
OSHA_00100,A003
OSHA_00100,A004
OSHA_00101,A002
OSHA_00101,A003
OSHA_00101,A004
OSHA_00102,A002
OSHA_00102,A003
OSHA_00102,A004
OSHA_00103,A002
OSHA_00103,A003
OSHA_00103,A004
OSHA_00104,A002
OSHA_00104,A003
OSHA_00104,A004
OSHA_00105,A002
OSHA_00105,A003
OSHA_00105,A004
OSHA_00108,A002
OSHA_00108,A003
OSHA_00108,A004
OSHA_00109,A002
OSHA_00109,A003
OSHA_00109,A004
OSHA_00110,A002
OSHA_00110,A003
OSHA_00110,A004
OSHA_00111,A002
OSHA_00111,A003
OSHA_00111,A004
OSHA_00112,A002
OSHA_00112,A003
OSHA_00112,A004
OSHA_00113,A002
OSHA_00113,A003
OSHA_00113,A004
OSHA_00114,A002
OSHA_00114,A003
OSHA_00114,A004
OSHA_00115,A002
OSHA_00116,A002
OSHA_00116,A003
OSHA_00116,A004
OSHA_00117,A002
OSHA_00117,A003
OSHA_00117,A004
OSHA_00118,A002
