處分年月,件數,金額總和
2020-11,185,1580000
2020-12,142,1400000
2021-01,76,1000000
2021-02,63,815000
2021-03,77,1005000
2021-04,95,1095000
2021-05,241,1890000
2021-06,168,1340000
2021-07,158,1460000
2021-08,201,1630000
2021-09,157,1310000
2021-10,148,1370000
2021-11,224,1790000
2021-12,117,1245000
2022-01,707,26969000
2022-02,436,18979000
2022-03,682,26808000
2022-04,604,24431000
2022-05,826,27552000
2022-06,851,33120000
2022-07,836,25826000
2022-08,894,26740000
2022-09,1112,40431000
2022-10,959,31855000
2022-11,1068,37194000
2022-12,943,32275000
2023-01,637,21086000
2023-02,825,32704000
2023-03,996,33568000
2023-04,802,26756000
2023-05,1361,42300000
2023-06,1244,40555000
2023-07,1263,38306000
2023-08,1320,40011000
2023-09,1212,37949000
2023-10,1133,37999000
2023-11,1407,43469000
2023-12,1289,38954000
2024-01,1077,34710000
2024-02,685,20311000
2024-03,976,29986000
2024-04,1020,30741000
2024-05,1465,44410000
2024-06,1329,36943000
2024-07,1535,45030000
2024-08,1497,46881000
2024-09,1406,41763000
2024-10,1365,48220000
2024-11,1626,48285000
2024-12,1500,51205000
2025-01,1022,37136000
2025-02,1017,32397000
2025-03,1076,34051000
2025-04,1189,38085000
2025-05,1473,42194000
2025-06,1471,42748000
2025-07,1501,46331000
2025-08,1401,45137000
2025-09,1511,47355000
2025-10,1299,44815000
2025-11,1368,45076000
2025-12,1408,44458000
2026-01,496,9495000
2026-02,316,5790000
2026-03,424,7785000
2026-04,447,5470000
2026-05,137,1150312
