法規類別,違反法條,件數,金額總和,金額平均
勞工職業災害保險及保護法,勞工職業災害保險及保護法第12條,10254,205080000,20000
勞工退休金條例,勞工退休金條例第15條第2項,9427,48539000,5149
勞工職業災害保險及保護法,勞工職業災害保險及保護法第17條,4619,92380000,20000
勞動基準法等,勞動基準法第22條第2項,2584,59936000,23195
勞動基準法等,勞動基準法第24條,2507,77142000,30771
勞動基準法等,勞動基準法第30條第6項,2289,54090000,23630
勞動基準法等,勞動基準法第32條第2項,1967,133884000,68065
勞動基準法等,勞動基準法第36條第1項,1468,39988000,27240
勞動基準法等,勞動基準法第80條,1261,43000000,34100
勞動基準法等,勞動基準法第39條,1099,25932000,23596
勞動基準法等,勞基法第32條第2項,901,75710000,84029
勞動基準法等,勞基法第22條第2項,835,25930000,31054
勞動基準法等,勞基法第24條第1項,791,27700000,35019
勞動基準法等,勞動基準法第24條第1項,766,31270000,40822
勞工職業災害保險及保護法,勞工職業災害保險及保護法第12條;勞工職業災害保險及保護法第17條,685,27400000,40000
勞動基準法等,勞動基準法第24條第2項,642,18590000,28956
勞動基準法等,勞基法第36條第1項,578,17160000,29689
勞動基準法等,勞動基準法第23條第1項,563,11810000,20977
勞動基準法等,勞動基準法第30條第5項,504,38950000,77282
勞動基準法等,勞基法第24條第2項,485,13200000,27216
勞動基準法等,勞動基準法第38條,480,10872000,22650
勞動基準法等,勞動基準法第23條第2項,441,9050000,20522
勞動基準法等,勞基法第30條第6項,433,9180000,21201
勞動基準法等,勞動基準法第21條第1項,377,9798000,25989
勞工職業災害保險及保護法,勞工職業災害保險及保護法第15條第4項,359,19000000,52925
勞動基準法等,勞基法第39條,333,8280000,24865
勞動基準法等,勞動基準法第36條,329,8200000,24924
勞動基準法等,勞動基準法第38條第4項,320,7940000,24812
勞動基準法等,勞動基準法第34條第2項,317,17590000,55489
勞工退休金條例,勞工退休金條例第18條,299,21590000,72207
勞動基準法等,勞動基準法第35條,270,7354000,27237
勞動基準法等,勞動基準法第38條第1項,262,5658000,21595
勞動基準法等,性別平等工作法第13條第2項,232,7850000,33836
勞動基準法等,勞基法第80條,226,7220000,31947
勞動基準法等,勞動基準法第24條;勞動基準法第32條第2項,203,14916000,73478
勞工退休金條例,勞工退休金條例第9條,195,19500000,100000
勞動基準法等,勞基法第23條第1項,180,4140000,23000
勞動基準法等,勞基法第38條第4項,158,3260000,20633
勞動基準法等,勞動基準法第23條,156,3010000,19295
勞動基準法等,勞動基準法第36條第2項,146,5812000,39808
勞動基準法等,勞動基準法第70條,145,3080000,21241
勞動基準法等,勞動基準法第32條第1項,143,25620000,179161
勞動基準法等,勞動基準法第56條第2項,132,26535000,201023
勞動基準法等,勞動基準法第59條第4款,128,2640000,20625
勞動基準法等,勞動基準法第59條,126,2650000,21032
勞動基準法等,勞動基準法第32條第2項;勞動基準法第36條第1項,121,8100000,66942
勞動基準法等,勞動基準法第24條;勞動基準法第39條,118,5490000,46525
勞動基準法等,勞基法第30條第5項,113,9740000,86195
勞動基準法等,勞動基準法第22條第2項;勞動基準法第30條第6項,100,3990000,39900
勞動基準法等,勞基法第35條,98,5080000,51837
勞動基準法等,勞基法第21條第1項,97,1990000,20515
勞動基準法等,勞動基準法第43條,89,1878000,21101
勞動基準法等,勞動基準法第30條第6項;勞動基準法第36條第1項,87,3760000,43218
勞動基準法等,勞動基準法第24條第1項;勞動基準法第24條第2項,87,5810000,66782
職業安全衛生法,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,85,1150312,13533
勞動基準法等,勞基法第23條第2項,84,1660000,19762
勞動基準法等,勞動基準法第24條;勞動基準法第36條,83,3760000,45301
勞動基準法等,勞動基準法第59條第2款,80,1578000,19725
