推測產業,資料來源,件數,金額總和,金額平均
住宿旅遊,勞基/性平/最低工資,212,8880000,41887
住宿旅遊,災保法,90,1950000,21667
住宿旅遊,勞退條例,33,165000,5000
保全服務,勞基/性平/最低工資,1624,76520000,47118
保全服務,勞退條例,685,4645000,6781
保全服務,災保法,571,13230000,23170
保全服務,職安法,4,0,0
其他服務業,勞基/性平/最低工資,19394,792671000,40872
其他服務業,災保法,9583,206890000,21589
其他服務業,勞退條例,5639,35629000,6318
其他服務業,職安法,172,0,0
教育,勞基/性平/最低工資,559,14740000,26369
教育,災保法,449,9710000,21626
教育,勞退條例,207,1035000,5000
營造,災保法,1251,26240000,20975
營造,勞基/性平/最低工資,860,30654000,35644
營造,勞退條例,293,1793000,6119
營造,職安法,231,1150312,4980
物流運輸,勞基/性平/最低工資,797,33093000,41522
物流運輸,勞退條例,204,1333000,6534
物流運輸,災保法,179,3900000,21788
美容美髮,勞基/性平/最低工資,135,3730000,27630
美容美髮,災保法,57,1210000,21228
美容美髮,勞退條例,28,140000,5000
製造,勞基/性平/最低工資,1876,109505000,58372
製造,勞退條例,630,3185000,5056
製造,災保法,583,12220000,20961
製造,職安法,39,0,0
資訊服務,勞基/性平/最低工資,2066,96662000,46787
資訊服務,災保法,687,15030000,21878
資訊服務,勞退條例,569,2942000,5170
資訊服務,職安法,18,0,0
農林漁牧,勞基/性平/最低工資,140,5580000,39857
農林漁牧,災保法,56,1190000,21250
農林漁牧,勞退條例,19,105000,5526
醫療,勞基/性平/最低工資,1066,33699000,31613
醫療,災保法,661,13730000,20772
醫療,勞退條例,556,2827000,5085
醫療,職安法,3,0,0
金融保險,勞退條例,421,33143000,78724
金融保險,勞基/性平/最低工資,320,68340000,213562
金融保險,災保法,48,1000000,20833
金融保險,職安法,1,0,0
零售批發,勞基/性平/最低工資,1107,34286000,30972
零售批發,災保法,732,16400000,22404
零售批發,勞退條例,305,1535000,5033
零售批發,職安法,3,0,0
餐飲,勞基/性平/最低工資,1955,68511000,35044
餐飲,災保法,992,21600000,21774
餐飲,勞退條例,382,1927000,5045
餐飲,職安法,4,0,0
