違反法條,件數,金額平均,金額最高
營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,85,13533,1150312
職業安全衛生法第6條第1項,74,0,0
職業安全衛生法第6條第1項第1款,16,0,0
職業安全衛生法第6條第1項第5款,15,0,0
勞動基準法第22條第2項,13,19231,40000
職業安全衛生法第26條第1項,12,0,0
勞動基準法第80條,11,32727,60000
營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項,11,0,0
職業安全衛生法第27條第1項第2款、第3款,10,0,0
職業安全衛生設施規則第43條第1項暨職業安全衛生法第6條第1項,9,0,0
職業安全衛生法第37條第2項第3款暨職業安全衛生法第37條第2項,8,0,0
職業安全衛生設施規則第21條暨職業安全衛生法第6條第1項,8,0,0
職業安全衛生法第27條第1項第2款暨職業安全衛生法第27條第1項 職業安全衛生法第27條第1項第3款暨職業安全衛生法第27條第1項,7,0,0
勞動基準法第32條第2項,7,61429,130000
職業安全衛生法第27條第1項,7,0,0
勞動基準法第30條第6項,7,18571,20000
職業安全衛生法第37條第2項第3款,6,0,0
職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,6,0,0
職業安全衛生法第37條第2項,6,0,0
職業安全衛生法第16條第1項,5,0,0
職業安全衛生法第26條第2項,5,0,0
勞動基準法第24條第2項,5,48000,70000
職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項,5,0,0
勞動基準法第24條,5,18000,20000
勞動基準法第38條第4項,4,20000,20000
職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項,4,0,0
勞動基準法第39條,4,20000,20000
勞基法第22條第2項,4,27500,50000
勞動基準法第36條第1項,4,17500,20000
勞基法第24條第1項,3,40000,50000
職業安全衛生設施規則第224條第1項暨職業安全衛生法第6條第1項,3,0,0
營造安全衛生設施標準第19條第2項暨職業安全衛生法第6條第1項,3,0,0
就業服務法第5條第1項,3,0,0
勞基法第32條第2項,3,290000,800000
營造安全衛生設施標準第129條第8款暨職業安全衛生法第6條,3,0,0
職業安全衛生設施規則第58條第5款暨職業安全衛生法第6條,3,0,0
勞動基準法第23條第1項,3,16667,20000
職業安全衛生設施規則第57條第3項暨職業安全衛生法第6條第1項,3,0,0
職業安全衛生設施規則第238條暨職業安全衛生法第6條第1項,2,0,0
最低工資法第5條,2,20000,20000
性別平等工作法第7條,2,200000,300000
職業安全衛生設施規則第243條第3款暨職業安全衛生法第6條,2,0,0
職業安全衛生法第27條第1項第1、2、3、4款,2,0,0
職業安全衛生設施規則第171條第1款暨職業安全衛生法第6條,2,0,0
職業安全衛生設施規則第128條之1第7款暨職業安全衛生法第6條,2,0,0
營造安全衛生設施標準第45條第3款暨職業安全衛生法第6條,2,0,0
職業安全衛生設施規則第126條暨職業安全衛生法第6條第1項,2,0,0
職業安全衛生設施規則第116條第15款暨職業安全衛生法第6條 職業安全衛生設施規則第126條暨職業安全衛生法第6條第1項,2,0,0
性別平等工作法第13條第2項,2,20000,20000
職業安全衛生法第27條第1項第1款、第2款、第3款,2,0,0
職業安全衛生法第27條第1項第1款暨職業安全衛生法第27條第1項 職業安全衛生法第27條第1項第2款暨職業安全衛生法第27條第1項 職業安全衛生法第27條第1項第3款暨職業安全衛生法第27條第1項 職業安全衛生法第27條第1項第4款暨職業安全衛生法第27條第1項,2,0,0
職業安全衛生法第27條第1項第2、3、4款,2,0,0
職業安全衛生法第37條第2項第1款,2,0,0
職業安全衛生管理辦法第3條第1項暨職業安全衛生法第23條第1項,2,0,0
職業安全衛生法第6條第1項第3款,2,0,0
職業安全衛生法第6條第1項第4款,2,0,0
職業安全衛生法第23條第1項,2,0,0
職業安全衛生法第6條第1項第7款,2,0,0
勞基法第24條第2項,2,35000,50000
勞基法第39條,2,20000,20000
勞動基準法第36條第2項,2,20000,20000
勞動基準法第70條,2,20000,20000
勞動基準法第38條,2,20000,20000
勞動基準法第59條第2款,2,20000,20000
勞動基準法第32條第2項 勞動基準法第36條第1項,2,80000,120000
職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項 職業安全衛生設施規則第43條第1項暨職業安全衛生法第6條第1項,2,0,0
職業安全衛生設施規則第324條之3第1項暨職業安全衛生法第6條第2項 職業安全衛生設施規則第324條之3第2項暨職業安全衛生法第6條第2項,2,0,0
勞動基準法第32條第1項,2,30000,40000
職業安全衛生設施規則第58條第5款暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第116條第15款暨職業安全衛生法第6條,1,0,0
職業安全衛生設施規則第58條第1款暨職業安全衛生法第6條,1,0,0
職業安全衛生設施規則第243條第3款暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項 職業安全衛生設施規則第82條第1項暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第78條暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第56條暨職業安全衛生法第6條第1項 職業安全衛生設施規則第58條第5款暨職業安全衛生法第6條,1,0,0
職業安全衛生設施規則第43條第1項暨職業安全衛生法第6條第1項 職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第116條第1款暨職業安全衛生法第6條 職業安全衛生設施規則第54條暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第116條第1款暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項 職業安全衛生設施規則第58條第1項第5款暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第116條第14款暨職業安全衛生法第6條 職業安全衛生設施規則第126條暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第116條第3款、第15款暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第116條第14款暨職業安全衛生法第6條,1,0,0
起重升降機具安全規則第63條第1項第6款暨職業安全衛生法第6條第1項 起重升降機具安全規則第63條第1項第2款暨職業安全衛生法第6條第1項,1,0,0
起重升降機具安全規則第63條第1項第2款暨職業安全衛生法第6條第1項,1,0,0
起重升降機具安全規則第62條第2項暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生法第6條第2項第3款,1,0,0
起重升降機具安全規則第62條第1項暨職業安全衛生法第6條第1項；職業安全衛生法第37條第2項第3款暨職業安全衛生法第37條第2項,1,0,0
職業安全衛生管理辦法第12條之1第1項暨職業安全衛生法第23條第1項,1,0,0
起重升降機具安全規則第62條第1項暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生設施規則第95條暨職業安全衛生法第6條第1項,1,0,0
職業安全衛生管理辦法第86條暨職業安全衛生法第23條第1項,1,0,0
