違規態樣,件數,金額總和,金額平均
雇主未依規定覈實申報調整勞工退休金提繳工資。,560,2822000,5039
未為所屬勞工辦理投保、退保手續。,325,6500000,20000
投保薪資金額以多報少或以少報多，或未於期限內通知月投保薪資之調整。,309,6180000,20000
延長工作時間未依規定加給工資,214,8196000,38299
延長工作時間超過法令規定,210,14130000,67286
工資未全額直接給付勞工,159,3830000,24088
出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,63,1560000,24762
拒絕、規避或阻撓勞工檢查員依法執行職務,54,1800000,33333
出勤紀錄未逐日記載勞工出勤情形至分鐘為止,38,3930000,103421
工資未依法給付給勞工,36,860000,23889
未為所屬勞工辦理投保、退保手續；投保薪資金額以多報少或以少報多，或未於期限內通知月投保薪資之調整。,32,1280000,40000
未依規定給予特別休假,31,838000,27032
未依規定給付休息日工作之工資,30,1130000,37667
工資未全額直接給付勞工。,30,620000,20667
延長工作時間超過法令規定。,29,1040000,35862
每7日中未有2日之休息作為例假及休息日,29,1420000,48966
未依規定置備勞工出勤紀錄,28,2385000,85179
拒絕、規避或阻撓勞工檢查員依法執行職務。,25,750000,30000
未逐日記載勞工出勤情形至分鐘為止,23,640000,27826
未給予勞工例假休息,22,896000,40727
規避、妨礙或拒絕保險人查對勞工名冊、出勤工作紀錄及薪資帳冊。,20,1050000,52500
工資未全額直接給付給勞工,18,420000,23333
延長工作時間未依規定加給工資。,18,550000,30556
未逐日記載勞工出勤情形至分鐘為止。,17,400000,23529
未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,16,440000,27500
假日工資未給或於休假日工作未依規定加給工資,14,380000,27143
未依法給付休息日工作之工資,13,410000,31538
工資未依約定或規定方式給付，或未提供工資各項目計算方式明細,13,290000,22308
採變形工時制度，未依規定安排勞工例假或休息日,13,570000,43846
未發給因年度終結或契約終止特休未休日數之工資,12,240000,20000
未依規定置備工資清冊,11,190000,17273
工資未定期給付勞工或未提供勞工工資各項目計算方式明細,11,210000,19091
工資未定期給付勞工，或未提供工資各項目計算方式明細,9,180000,20000
工資未全額給付,9,180000,20000
工資應全額直接給付勞工,9,830000,92222
未依規定給付延長工時工資,9,300000,33333
勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,9,540000,60000
未依規定給予特別休假。,9,210000,23333
未達基本工資,9,198000,22000
雇主未盡工作場所性騷擾防治義務,8,590000,73750
例假、休息日、第37條所定之休假日及特別休假出勤，未依規定加給工資,8,280000,35000
延長工作時間超過法令規定;延長工作時間未依規定加給工資,8,720000,90000
未依規定置備勞工出勤紀錄表,8,495000,61875
特別休假期日未由勞工排定,8,160000,20000
延長工作時間未依規定加給工資;未依法給付休息日工作之工資,8,380000,47500
每七日中未有一日之休息作為例假,7,260000,37143
雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,7,80000,11429
延長工作時間未依規定加給工資;延長工作時間超過法令規定。,7,1990000,284286
未提供勞工工資各項目計算方式明細,6,100000,16667
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同。,6,120000,20000
勞工每7日中未有1日為例假,6,240000,40000
拒絕、規避及阻撓勞動檢查,6,180000,30000
延長工作時間超過法令規定;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,6,520000,86667
延長工作時間之工資未依法令標準加給,6,270000,45000
每七日中未有一日之休息作為例假。,6,150000,25000
工資應全額直接給付勞工。但法令另有規定或勞雇雙方另有約定者，不在此限。,6,140000,23333
勞工每七日中應有二日之休息，其中一日為例假，一日為休息日,6,120000,20000
雇主未依規定於到職7日內申報提繳勞工退休金。,5,100000,20000
雇主未核給勞工婚假、喪假、公傷、病假或事假等應給之假期或假期內應給付之工資,5,100000,20000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…,5,270000,54000
雇主於知悉前條性騷擾之情形時，應採取立即有效之糾正及補救措施。,5,20000,4000
延長工作時間未依規定加給工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,5,260000,52000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,5,260000,52000
勞工在同一雇主或事業單位，繼續工作滿一定期間者，應依勞動基準法規定給予特別休假,5,100000,20000
未依規定置備勞工出勤紀錄並保存五年,5,450000,90000
雇主未依規定每月以書面通知勞工提繳金額。,4,20000,5000
未依勞動基準法第22條第2項規定工資應全額直接給付勞工。,4,80000,20000
懷孕歧視,4,1200000,300000
未依法給付延長工時工資,4,140000,35000
工資未定期給付勞工,4,80000,20000
勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,4,140000,35000
延長工作時間未依規定加給工資;延長工作時間超過法令規定,4,220000,55000
未逐日計載勞工出勤情形至分鐘為止,4,120000,30000
未依規定給予勞工職業災害補償。,4,80000,20000
未依本府限期給付勞工工資,4,90000,22500
未依勞動基準法第32條第2項延長之工作時間，一日不超過12小時，一個月不得超過四十六小時。,4,120000,30000
工資未全額給付勞工,4,140000,35000
雇主未經工會或勞資會議同意，逕自分配二週內二日之正常工作時間於其他工作日；或雖經工會或勞資會議同意，分配於其他工作日之時數，每日超過二小時或每週超過四十八小時,4,170000,42500
延長工作時間超過法定上限,4,250000,62500
拒絕、規避勞動檢查,3,90000,30000
延長勞工工作時間超過法定限制,3,90000,30000
延長工時超過法定上限,3,190000,63333
延遲給付工資,3,60000,20000
延長工作時間未依規定加給工資;未逐日記載勞工出勤情形至分鐘為止。,3,210000,70000
使勞工延長工作時間超過法令規定,3,250000,83333
前項之特別休假期日，由勞工排定之。但雇主基於企業經營上之急迫需求或勞工因個人因素，得與他方協商調整。,3,90000,30000
受處分人知悉性騷擾情事，未採取立即有效之糾正及補救措施。,3,140000,46667
未依規定加給休息日延長工作時間工資。,3,120000,40000
未依規定給予延長工時工資,3,90000,30000
雇主延長勞工之工作時間超過法令規定,3,280000,93333
未依規定接受勞動檢查,3,90000,30000
繼續工作四小時未有三十分鐘休息,3,88000,29333
"未於次年度3月底前,一次提撥年度內預估退休金額不足之差額",3,1350000,450000
工資未依法給付給勞工;未依規定置備勞工出勤紀錄,3,360000,120000
未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定。,3,290000,96667
延長工時超過法令規定,3,240000,80000
工資未依法給付給勞工;未依法給付休息日工作之工資,3,230000,76667
未依規定詳實記載勞工實際工作時間之出勤情形,3,90000,30000
工資未全額直接給付勞工;延長工作時間未依規定加給工資,3,180000,60000
假日工資未給或於休假日工作未依規定加給工資。,3,60000,20000
延長工作時間未依規定加給工資;每七日中未有一日之休息作為例假。,3,120000,40000
雇主僱用勞工人數30以上，延長勞工工作時間未依規定報當地主管機關備查,3,120000,40000
"終止勞動契約時
未結算特別休假工資",3,60000,20000
工資未全額直接給付,3,60000,20000
雇主知悉性騷擾情形，未採取立即有效之糾正及補救措施,3,0,0
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間未依規定加給工資,3,200000,66667
危險性機械或設備，非經檢查合格者不得使用；其使用超過規定期間者，非經再檢查合格不得繼續使用。,2,0,0
工資未依法給付給勞工;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,2,80000,40000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…;延長工作時間超過法令規定,2,140000,70000
特別休假於年度終結或契約終止而未休之日數未依規定發給工資。,2,40000,20000
每月延長工時超過法定上限,2,70000,35000
未依規定置備勞工出勤紀錄，並保存5年,2,180000,90000
未依法令給付延長工作時間工資,2,40000,20000
使勞工1個月延長工作時間超過46小時以上,2,250000,125000
