違反法條,違規分類,件數,金額總和,金額平均
勞工退休金條例第15條第2項,退休金類,560,2822000,5039
勞工職業災害保險及保護法第12條,投保類,325,6500000,20000
勞工職業災害保險及保護法第17條,投保類,309,6180000,20000
勞動基準法第32條第2項,工時/加班類,308,19060000,61883
勞動基準法第22條第2項,工資類,304,7750000,25493
勞動基準法第30條第6項,工時/加班類,163,7030000,43129
勞動基準法第24條第1項,工時/加班類,147,5790000,39388
勞動基準法第24條,工時/加班類,140,5046000,36043
勞動基準法第80條,勞基其他,94,3000000,31915
勞動基準法第36條第1項,工時/加班類,84,3160000,37619
勞動基準法第23條第1項,工資類,57,1140000,20000
勞動基準法第24條第2項,工時/加班類,52,1900000,36538
勞動基準法第30條第5項,工時/加班類,50,4140000,82800
勞動基準法第38條第4項,勞基其他,40,1210000,30250
勞工職業災害保險及保護法第12條;勞工職業災害保險及保護法第17條,投保類,32,1280000,40000
勞動基準法第39條,勞基其他,29,830000,28621
性別平等工作法第13條第2項,性平類,25,1050000,42000
勞動基準法第38條,勞基其他,23,578000,25130
勞工職業災害保險及保護法第15條第4項,投保類,20,1050000,52500
勞動基準法第36條第2項,工時/加班類,20,876000,43800
勞動基準法第32條第2項;勞動基準法第36條第1項,工時/加班類,19,1520000,80000
勞動基準法第38條第2項,勞基其他,18,420000,23333
勞動基準法第21條第1項,工資類,16,338000,21125
勞動基準法第38條第1項,勞基其他,15,380000,25333
勞動基準法第24條;勞動基準法第32條第2項,工時/加班類,15,2396000,159733
勞動基準法第23條第2項,工資類,15,260000,17333
勞動基準法第36條,工時/加班類,12,440000,36667
勞動基準法第27條,工資類,11,250000,22727
勞動基準法第24條第1項;勞動基準法第24條第2項,工時/加班類,11,680000,61818
勞動基準法第24條第1項;勞動基準法第32條第2項,工時/加班類,10,660000,66000
勞動基準法第43條,勞基其他,10,200000,20000
性別工作平等法第13條第2項,性平類,10,0,0
勞動基準法第70條,勞基其他,9,180000,20000
勞動基準法第32條第2項;勞動基準法第24條第1項,工時/加班類,8,720000,90000
勞動基準法第30條第6項;勞動基準法第36條第1項,工時/加班類,8,380000,47500
勞動基準法第35條,勞基其他,7,168000,24000
勞動基準法第9條第1項,勞基其他,7,150000,21429
勞動基準法第56條第2項,勞基其他,6,1910000,318333
性別平等工作法第13條第1項,性平類,6,120000,20000
勞動基準法第22條第2項;勞動基準法第30條第5項,工資類,6,690000,115000
性別平等工作法第11條第1項,性平類,6,1800000,300000
勞動基準法第22條第2項;勞動基準法第24條,工資類,6,300000,50000
勞動基準法第59條,職災補償類,6,120000,20000
勞工退休金條例第18條,退休金類,5,100000,20000
勞動基準法第28條第2項,工資類,5,120000,24000
勞動基準法第22條第2項;勞動基準法第24條第1項,工資類,5,200000,40000
性別平等工作法第21條第1項,性平類,5,100000,20000
勞動基準法第22條第2項;勞動基準法第30條第6項,工資類,5,200000,40000
勞動基準法第24條第1項;勞動基準法第36條第1項,工時/加班類,5,260000,52000
勞動基準法第30條第6項;勞動基準法第32條第2項,工時/加班類,5,370000,74000
勞動基準法第32條第1項,工時/加班類,5,710000,142000
勞動基準法第32條,工時/加班類,5,420000,84000
勞工退休金條例第21條第1項,退休金類,4,20000,5000
勞動基準法第22條第2項;勞動基準法第38條第4項,工資類,4,160000,40000
性別平等工作法第21條,性平類,4,50000,12500
勞動基準法第23條第1項;勞動基準法第30條第6項,工資類,4,160000,40000
勞動基準法第22條第2項;勞動基準法第23條第1項,工資類,4,160000,40000
勞動基準法第24條第2項;勞動基準法第36條第1項,工時/加班類,4,160000,40000
勞動基準法第24條;勞動基準法第36條,工時/加班類,4,160000,40000
勞動基準法第32條第3項,工時/加班類,4,140000,35000
職業安全衛生法第6條第1項第1款,安全衛生類,3,0,0
勞動基準法第24條;勞動基準法第39條,工時/加班類,3,120000,40000
勞動基準法第22條第2項;勞動基準法第36條第1項,工資類,3,150000,50000
勞動基準法第32條第2項;勞動基準法第36條第2項,工時/加班類,3,340000,113333
勞動基準法第23條,工資類,3,70000,23333
勞動基準法第59條第2款,職災補償類,3,60000,20000
勞動基準法第24條第1項;勞動基準法第38條第4項,工時/加班類,3,120000,40000
勞動基準法第24條第2項;勞動基準法第38條第4項,工時/加班類,3,180000,60000
勞動基準法第19條,勞基其他,3,60000,20000
勞動基準法第22條第2項;勞動基準法第24條第2項,工資類,3,230000,76667
勞動基準法第59條第4款,職災補償類,3,60000,20000
勞動基準法第34條第2項,工時/加班類,3,110000,36667
勞動基準法第24條第2項;勞動基準法第32條第2項,工時/加班類,3,390000,130000
勞動基準法第30條第6項;勞動基準法第24條第1項,工時/加班類,3,200000,66667
職業安全衛生法第16條第1項,安全衛生類,2,0,0
勞動基準法第23條第1項;勞動基準法第24條,工資類,2,80000,40000
勞動基準法第24條;勞動基準法第30條第6項,工時/加班類,2,170000,85000
勞動基準法第24條第1項;勞動基準法第32條第2項;勞動基準法第36條第1項;勞動基準法第38條第4項,工時/加班類,2,160000,80000
勞動基準法第24條;勞動基準法第38條,工時/加班類,2,80000,40000
勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條第1項,工時/加班類,2,120000,60000
性別平等工作法第21條第2項,性平類,2,40000,20000
勞動基準法第13條,資遣/解僱類,2,180000,90000
勞動基準法第30條第6項;勞動基準法第39條,工時/加班類,2,80000,40000
勞動基準法第30條第6項;勞動基準法第38條第5項,工時/加班類,2,80000,40000
勞動基準法第32條第4項,工時/加班類,2,70000,35000
勞動基準法第24條;勞動基準法第36條第1項,工時/加班類,2,80000,40000
勞動基準法第16條第3項,資遣/解僱類,2,40000,20000
性別平等工作法第7條,性平類,2,600000,300000
勞動基準法第22條第2項;勞動基準法第23條第1項;勞動基準法第30條第6項,工資類,2,120000,60000
勞動基準法第24條第1項;勞動基準法第32條第2項;勞動基準法第35條,工時/加班類,2,260000,130000
勞動基準法第24條第1項;勞動基準法第30條第6項,工時/加班類,2,80000,40000
勞動基準法第7條第1項;勞動基準法第23條第2項;勞動基準法第30條第5項,勞基其他,2,260000,130000
勞動基準法第22條第2項;勞動基準法第32條第2項,工資類,2,80000,40000
勞動基準法第16條,資遣/解僱類,2,50000,25000
勞動基準法第22條;勞動基準法第38條,工資類,2,100000,50000
勞動基準法第32條第2項;勞動基準法第24條第1項;勞動基準法第36條第1項,工時/加班類,2,310000,155000
勞動基準法第22條,工資類,2,40000,20000
勞動基準法第37條,勞基其他,2,40000,20000
勞動基準法第24條;勞動基準法第38條第4項;勞動基準法第39條,工時/加班類,2,210000,105000
勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條第1項;勞動基準法第39條,工時/加班類,2,160000,80000
勞動基準法第30條第6項;勞動基準法第24條第2項,工時/加班類,2,80000,40000
勞動基準法第24條;勞動基準法第36條;勞動基準法第39條,工時/加班類,2,210000,105000
勞動基準法第23條第1項;勞動基準法第30條第5項,工資類,2,220000,110000
勞動基準法第39條;勞動基準法第24條第1項,勞基其他,2,140000,70000
勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條,工時/加班類,2,140000,70000
勞動基準法第30條第6項;勞動基準法第36條,工時/加班類,2,100000,50000
勞動基準法第22條第2項;勞動基準法第23條第2項;勞動基準法第30條第5項,工資類,2,560000,280000
勞工職業災害保險及保護法第15條第3項,投保類,1,20000,20000
職業安全衛生設施規則第43條第1項暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
職業安全衛生設施規則第224條第1項暨職業安全衛生法第6條第1項職業安全衛生設施規則第37條第1項第8款暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
職業安全衛生設施規則第56條暨職業安全衛生法第6條第1項職業安全衛生設施規則第58條第5款暨職業安全衛生法第6條,安全衛生類,1,0,0
職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項職業安全衛生設施規則第82條第1項暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
職業安全衛生設施規則第225條第2項暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
營造安全衛生設施標準第18條第2項暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
特定化學物質危害預防標準第32條第1項第1款暨職業安全衛生法第6條第1項特定化學物質危害預防標準第40條暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
職業安全衛生法第6條第2項,安全衛生類,1,0,0
職業安全衛生設施規則第116條第14款暨職業安全衛生法第6條職業安全衛生設施規則第126條暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
勞工作業環境監測實施辦法第8條第1項第6款暨職業安全衛生法第12條第3項,安全衛生類,1,0,0
職業安全衛生設施規則第82條第1項暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
職業安全衛生設施規則第227條第1項第1款暨職業安全衛生法第6條第1項職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項職業安全衛生設施規則第58條第1項第5款暨職業安全衛生法第6條第1項,安全衛生類,1,0,0
工會法第35條第1項第5款,其他,1,100000,100000
性別平等工作法第11條第2項,性平類,1,300000,300000
勞動基準法第23條第1項;勞動基準法第24條第1項,工資類,1,70000,70000
勞動基準法第36條第1項;勞動基準法第38條第4項,工時/加班類,1,40000,40000
勞動基準法第50條,勞基其他,1,90000,90000
勞動基準法第22條第2項;勞動基準法第30條第3項;勞動基準法第38條第4項,工資類,1,60000,60000
勞動基準法第32條第2項;勞動基準法第32條第3項,工時/加班類,1,70000,70000
勞動基準法第38條第2項;勞動基準法第38條第4項,勞基其他,1,40000,40000
勞動基準法第32條第2項;勞動基準法第38條第4項,工時/加班類,1,40000,40000
勞動基準法第24條第2項;勞動基準法第30條第6項,工時/加班類,1,40000,40000
勞動基準法第32條第2項;勞動基準法第24條第2項;勞動基準法第36條第1項,工時/加班類,1,60000,60000
勞動基準法第38條第4項;勞動基準法第39條,勞基其他,1,40000,40000
性別平等工作法第21條第1項;性別平等工作法第21條第2項,性平類,1,40000,40000
勞動基準法第24條第1項;勞動基準法第30條第1項;勞動基準法第70條,工時/加班類,1,60000,60000
勞動基準法第22條第2項;勞動基準法第24條第1項;勞動基準法第32條第2項,工資類,1,60000,60000
勞動基準法第22條第2項;勞動基準法第30條第5項;勞動基準法第30條第6項,工資類,1,130000,130000
勞動基準法第24條;勞動基準法第30條第6項;勞動基準法第32條第2項;勞動基準法第36條第1項,工時/加班類,1,80000,80000
勞動基準法第32條第4項;勞動基準法第40條,工時/加班類,1,40000,40000
勞動基準法第24條第2項;勞動基準法第70條,工時/加班類,1,40000,40000
勞動基準法第38條第4項;勞動基準法第38條第5項,勞基其他,1,40000,40000
勞動基準法第24條第1項;勞動基準法第32條第1項,工時/加班類,1,40000,40000
勞動基準法第30條第5項;勞動基準法第59條第1項第2款,工時/加班類,1,110000,110000
勞動基準法第24條第2項;勞動基準法第39條,工時/加班類,1,40000,40000
勞動基準法第32條第2項;勞動基準法第39條;勞動基準法第24條第1項,工時/加班類,1,60000,60000
勞動基準法第23條第2項;勞動基準法第19條,工資類,1,40000,40000
勞動基準法第24條第1項;勞動基準法第32條第2項;勞動基準法第36條第1項;勞動基準法第39條,工時/加班類,1,80000,80000
勞動基準法第59條第1項第4款,職災補償類,1,20000,20000
勞動基準法第23條第1項;勞動基準法第24條第2項;勞動基準法第36條第1項;勞動基準法第39條,工資類,1,80000,80000
勞動基準法第23條第2項;勞動基準法第38條第1項,工資類,1,40000,40000
勞動基準法第24條第1項;勞動基準法第35條,工時/加班類,1,40000,40000
勞動基準法第16條第3項;勞動基準法第22條第2項;勞動基準法第23條第1項;勞動基準法第30條第5項,資遣/解僱類,1,150000,150000
勞動基準法第22條第2項;勞動基準法第32條第2項;勞動基準法第38條第4項,工資類,1,60000,60000
勞動基準法第22條第2項;勞動基準法第70條;勞動基準法第24條第1項;勞動基準法第38條第2項,工資類,1,80000,80000
勞動基準法第22條第2項;勞動基準法第43條,工資類,1,40000,40000
勞動基準法第59條第1款,職災補償類,1,20000,20000
性別平等工作法第36條,性平類,1,20000,20000
勞動基準法第38條第4項;勞動基準法第59條第2款,勞基其他,1,40000,40000
勞動基準法第39條;勞動基準法第24條第2項,勞基其他,1,40000,40000
勞動基準法第30條第6項;勞動基準法第32條第2項;勞動基準法第70條;勞動基準法第36條第1項,工時/加班類,1,80000,80000
勞動基準法第9條第1項;勞動基準法第24條第1項;勞動基準法第32條第2項;勞動基準法第34條第2項;勞動基準法第38條第4項,勞基其他,1,130000,130000
勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第35條,工時/加班類,1,120000,120000
勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第39條,工時/加班類,1,80000,80000
勞動基準法第22條第2項;勞動基準法第23條第2項;勞動基準法第24條,工資類,1,60000,60000
勞動基準法第23條第1項;勞動基準法第30條第5項;勞動基準法第70條;勞動基準法第38條第3項;勞動基準法第38條第4項,工資類,1,170000,170000
勞動基準法第21條第1項;勞動基準法第59條第1項第2款,工資類,1,40000,40000
勞動基準法第24條第2項;勞動基準法第36條第1項;勞動基準法第38條第4項,工時/加班類,1,60000,60000
勞動基準法第70條;勞動基準法第24條第1項;勞動基準法第24條第2項,勞基其他,1,60000,60000
