處分年月,件數,金額總和
2022-06,29,580000
2022-07,112,2260000
2022-08,174,3590000
2022-09,223,4780000
2022-10,239,5120000
2022-11,320,6620000
2022-12,243,5230000
2023-01,239,5340000
2023-02,205,4440000
2023-03,295,6370000
2023-04,224,4830000
2023-05,473,9950000
2023-06,390,8280000
2023-07,380,8340000
2023-08,365,7760000
2023-09,363,7690000
2023-10,320,6940000
2023-11,454,9680000
2023-12,395,8830000
2024-01,342,7230000
2024-02,246,5490000
2024-03,324,7070000
2024-04,295,6440000
2024-05,585,12150000
2024-06,405,8850000
2024-07,504,10680000
2024-08,449,9520000
2024-09,393,8380000
2024-10,386,8360000
2024-11,492,10830000
2024-12,446,9660000
2025-01,340,7670000
2025-02,350,7870000
2025-03,341,7470000
2025-04,348,7550000
2025-05,478,10330000
2025-06,458,9960000
2025-07,458,10000000
2025-08,405,8700000
2025-09,410,9010000
2025-10,354,7810000
2025-11,416,9050000
2025-12,405,8610000
2026-01,370,8190000
2026-02,222,4680000
2026-03,274,6110000
